Date,Open,High,Low,Close,Adj Close,Volume
2020-07-17,686536.500000,688381.187500,683085.375000,685416.750000,685416.750000,1044414045493
2020-07-18,685401.187500,691377.937500,681629.375000,685989.562500,685989.562500,917689709062
2020-07-19,685912.125000,689162.125000,681390.312500,687995.062500,687995.062500,969099478575
2020-07-20,688100.187500,690701.750000,683883.625000,685029.500000,685029.500000,1028236183087
2020-07-21,684901.125000,701946.875000,683920.125000,698836.937500,698836.937500,1346969882504
2020-07-22,698851.312500,711032.500000,697086.812500,710687.812500,710687.812500,1233472363541
2020-07-23,710820.562500,719008.000000,710468.437500,717179.625000,717179.625000,1358326921594
2020-07-24,717512.187500,719101.000000,709836.687500,712641.437500,712641.437500,1236900647229
2020-07-25,712835.187500,725170.125000,712142.250000,723119.375000,723119.375000,1241182567432
2020-07-26,723352.625000,749026.000000,721306.125000,740510.875000,740510.875000,1533179194456
2020-07-27,740514.687500,844274.750000,740086.625000,822141.937500,822141.937500,2644988510540
2020-07-28,824131.000000,838111.187500,796006.500000,817375.875000,817375.875000,2154629063795
2020-07-29,817385.625000,845689.875000,813217.812500,830489.312500,830489.312500,1841756769466
2020-07-30,830441.750000,836322.375000,815859.187500,830777.687500,830777.687500,1709020425459
2020-07-31,830702.687500,855488.187500,821144.875000,848466.187500,848466.187500,1735411683549
2020-08-01,848399.062500,883781.312500,842188.312500,881145.125000,881145.125000,1953847368222
2020-08-02,881083.062500,901717.187500,825587.375000,828115.312500,828115.312500,2053509041874
2020-08-03,827377.750000,861675.750000,825028.625000,845338.062500,845338.062500,1523734612035
